UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
344,"China, Hong Kong SAR",7887,7913,9287,8540,8356,7901,9121,10436,10778,9529,10256,10624,9333,9299,8966,8571,8418,8310,6439,6052,4988,5627,4302,4857,4615,4130,4125,4514,4754,4819,4338,3438,4093
170,Colombia,224,300,400,535,775,921,1171,1618,3314,5673,10455,12267,23987,23971,25652,36630,29990,43710,45933,52947,61786,57660,57160,60895,60072,61000,70132,66565,68200,80623,80367,83681,89654
180,"Congo, Dem. Rep. of the",0,0,0,0,81,180,689,723,759,760,700,700,730,700,650,600,600,1000,1833,1993,2076,2744,2965,2965,2965,2965,2970,2970,2970,2970,2970,2970,2869
178,"Congo, Republic of",0,0,0,48,47,61,91,121,177,243,240,243,191,234,121,139,106,99,140,190,66,64,68,69,72,80,21,25,65,56,58,68,98
184,Cook Islands,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
188,Costa Rica,27,41,58,79,185,106,106,270,399,410,573,1975,2244,3335,3910,6756,6986,7000,7937,9324,9708,10520,17892,20546,24708,24038,19962,25765,27035,24725,26810,27785,27189
384,Côte d'Ivoire,0,0,0,0,21,60,213,229,170,168,100,253,306,351,117,386,1128,450,862,1000,1197,1025,806,866,866,866,866,1290,1290,1340,1700,3394,3720
191,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,6802,4603,4941,4007,2889,3510,5989,6313,6876,10468,9095,9505,10917,12127,15497,14045,13878,14229,13991,12846,10667
192,Cuba,2309,2977,3779,4145,4383,4637,4626,5578,5768,6036,8174,8261,10977,12774,16273,22276,36354,36367,39603,40166,32780,25569,27044,26897,27562,22635,27210,37526,36685,36002,31422,24598,26179
196,Cyprus,31,36,46,50,60,56,57,50,59,84,125,127,155,259,291,452,787,969,1178,1422,1878,1883,1862,1821,2445,2436,2787,2450,2887,3416,4116,4745,4332
203,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,20242,18655,18679,18200,17560,17231,18775,19475,20098,19210,19670,19384,20455,20431,20447,20395,20071,20420,21010,20763
200,Czechoslovakia,15957,16503,18041,19525,19488,19813,21234,20736,21247,21266,22326,22046,24135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Denmark,18555,21202,21655,25363,23609,24244,24402,25851,28659,33059,41946,42098,43264,39739,42892,44730,41924,39697,42368,42670,43609,41573,32026,37772,42814,39012,37188,31168,35066,34129,35175,34918,33586
212,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,4,5,5,5,7,12,13,13,18,19,24,24,34,35,35,35,35
214,Dominican Republic,0,0,0,3,50,193,301,323,277,221,280,615,815,1347,3982,2206,789,677,810,748,2125,2647,3554,1944,2000,980,980,980,980,1230,1280,2148,1032
218,Ecuador,9565,12554,22016,36273,34225,30876,44339,70099,75631,71211,77730,107145,116694,87763,89096,106223,108880,134497,145790,126575,61311,57587,77636,95278,108673,138562,169588,171020,172120,218361,271919,308900,321853
818,Egypt,19000,21000,24000,25000,27000,41846,45500,46400,52200,60500,61916,61617,63895,54100,56603,71815,91137,85704,139389,226276,340093,342864,376296,445181,471535,539748,595030,635516,693815,705490,919585,986820,1017738
222,El Salvador,0,0,0,0,10,676,760,790,718,711,632,117,539,628,1324,518,358,384,399,279,261,395,781,1131,2219,2203,3078,3734,3817,4356,4500,4884,5322
