UNcode,CountryName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
882,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5
682,Saudi Arabia,0,0,0,0,0,0,28,140,331,1240,1988,2153,2380,2503,2235,2696,3835,4690,5101,5620,6004,8218,6744,11824,11172,14375,15586,18497,22353,26120,26374,26765,25960
686,Senegal,149,136,124,0,39,36,34,34,43,11,7,12,11,26,42,60,78,74,23,155,104,105,109,98,52,53,45,45,54,71,78,335,399
688,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835,6609,7535,7440,8155,7629,7662
891,Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,2301,2381,2583,2404,2863,3490,8319,4406,3714,3536,3326,3194,4616,4554,0,0,0,0,0,0,0
690,Seychelles,0,0,0,0,0,0,0,0,0,7,15,12,50,100,164,195,278,584,649,227,425,282,234,1084,1175,772,704,368,289,0,0,0,0
694,Sierra Leone,2,2,3,4,7,9,14,18,20,20,20,20,20,15,25,25,30,30,30,30,30,30,30,30,30,30,30,50,50,75,75,75,80
702,Singapore,91,279,1126,1497,1149,1225,1330,1855,1969,1965,1857,2000,2350,2350,2360,3625,3567,4088,3706,4029,5112,4443,5027,5024,5406,5917,8573,4503,3518,3567,3499,3985,3584
703,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,1861,1617,954,1254,648,872,887,999,829,881,1180,955,1263,1199,1071,823,687,814,1286
705,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,868,718,787,789,869,917,909,1206,1181,1262,1289,1353,1571,1346,1369,1352,1315,1307,778,1397,1154
90,Solomon Islands,0,0,0,0,28,0,0,6,5,3,5,6,8,10,13,13,13,13,13,13,15,15,0,0,0,0,0,1,1,1,1,1,2
710,South Africa,13,11,10,6,366,615,789,1096,1376,2037,3613,4882,4288,4021,4429,3520,2981,4186,5072,4143,2807,2818,3055,3778,3109,2895,3037,2669,3587,3433,3133,3572,3999
728,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
724,Spain,205638,215150,225730,229310,247426,266608,268449,270734,271403,222924,203766,224971,168759,126130,177940,223965,231633,239169,313908,318469,309229,309091,254949,268279,293839,219335,292828,281704,249701,266664,252351,271961,264160
144,Sri Lanka,31,47,56,70,40,280,430,530,699,730,1030,1530,2030,2530,3130,3359,3632,3680,6570,3900,4420,3610,2651,3462,4003,4304,5652,8233,7474,7549,8058,11911,8817
729,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980
736,Sudan (former),0,0,0,0,10,30,41,43,45,100,234,203,200,200,200,1000,1000,1000,1000,1000,1000,1000,1600,1600,1600,1600,1600,1950,1800,2000,2000,2000,0
740,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,106,200,345,422,422,260,288,242,180,52,38,41,68,96,95
748,Swaziland,0,0,0,0,8,12,18,19,20,40,45,45,40,42,60,88,93,66,81,61,69,72,0,0,0,0,0,0,0,73,209,220,220
752,Sweden,822,2607,3998,3227,3265,3081,4346,7288,8287,7914,9124,7984,7119,5904,7410,7554,8244,6683,5476,6004,4834,6773,5618,6334,5989,5880,7549,5365,7595,8540,10644,13441,13757
756,Switzerland,170,200,220,250,272,270,271,252,254,1180,1070,1230,1230,1135,1235,1161,1161,1150,1150,1135,1100,1135,1135,1100,1205,1214,1214,1216,1216,1249,1261,1266,1271
760,Syrian Arab Republic,509,816,1122,1375,2055,2810,2573,1982,3040,2662,2729,3169,5116,4635,4521,5857,6355,5596,7233,6079,6797,5880,5988,7217,8692,8533,8902,8425,8595,8697,8610,8000,7000
158,Taiwan Province of China,163867,191216,206719,230653,234924,240743,256811,299897,294339,240411,333370,282553,249956,277211,281706,278227,262403,257530,240435,247732,243856,297428,330166,351578,318273,304756,310216,315628,323982,286473,310338,314363,344404
762,Tajikistan,0,0,0,0,0,0,0,0,3227,3267,3603,3689,1874,2462,980,284,93,71,81,74,86,99,143,167,26,26,26,26,26,255,517,537,481
834,"Tanzania, United Rep. of",0,0,13,8,15,21,32,35,37,375,375,400,350,200,150,200,200,200,200,200,210,300,630,2,13,12,72,45,217,202,454,648,3417
764,Thailand,95966,129097,86643,99978,111932,135840,134063,151656,218191,260191,291719,353333,370974,457314,509800,559504,556155,539817,594579,693762,738155,814121,954608,1064407,1259981,1304231,1354297,1370456,1330861,1416668,1286122,1201455,1233877
626,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,23,32,52,52,52,56,56
768,Togo,0,0,0,0,40,30,14,14,14,14,22,22,150,150,150,20,21,20,25,20,20,20,30,30,35,50,50,50,107,107,100,20,20
776,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,27,20,17,22,3,1,5,4,1,0,0,0,0
780,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,15,15,13,13,13,22,7,7,7,26,26,26,41,70,49,26,20,31
788,Tunisia,56,72,117,160,116,147,182,212,993,820,1023,778,859,795,1137,960,1351,1875,1842,1095,1553,1868,1980,2086,2308,2603,2855,3581,3561,4907,5424,8126,8577
792,Turkey,1370,1540,1740,1970,2226,2700,3075,3300,4100,4354,5782,7835,9085,12438,15998,21607,33201,45450,56700,63000,79031,67244,61165,79943,94450,119567,129333,140743,152896,159639,167721,188890,212805
795,Turkmenistan,0,0,0,0,0,0,0,0,2380,2464,2410,2248,1950,2163,2125,1669,307,605,559,73,68,43,38,24,16,16,16,16,17,17,17,17,17
796,Turks and Caicos Is.,0,0,0,0,0,0,0,360,100,10,5,2,2,1,1,5,3,4,4,10,15,20,30,25,4,4,4,0,0,0,0,0,0
798,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,0,3,3,3,3
850,US Virgin Islands,0,0,0,0,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10
800,Uganda,0,0,0,0,31,33,35,38,34,42,52,63,77,87,179,194,210,360,320,475,820,2360,4915,5500,5539,10817,32392,51110,52250,76654,95000,85713,95906
804,Ukraine,0,0,0,0,0,0,0,0,96182,94891,81639,54648,66904,66117,43686,35368,32709,30000,28332,33816,30969,31037,30870,25615,26350,28854,19181,27965,24337,24083,22965,23653,23720
810,Un. Sov. Soc. Rep.,157405,184500,207920,223878,266954,289792,319886,345365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,United Arab Emirates,0,0,0,0,7,7,7,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,570,590,590,610,1266,100,150,322,330
826,United Kingdom,2855,4049,11987,11684,17612,20104,24013,29435,36392,49316,50044,60887,56824,68774,85701,93838,109901,129715,137421,154800,152485,170516,179036,181838,207203,172813,171848,174203,179187,179093,201091,198439,203037
840,United States of America,168365,230111,261725,268483,326453,323573,372191,383259,357657,369252,315727,363083,413844,416913,391412,413454,393346,438356,445119,479212,456830,480362,498899,545971,607570,513920,519967,526045,501126,481224,496699,397292,420024
858,Uruguay,0,0,0,0,0,0,0,3,5,3,3,3,7,5,10,20,21,19,19,31,85,17,17,24,22,49,37,31,36,54,85,78,91
860,Uzbekistan,0,0,0,0,0,0,0,0,20471,21001,21962,24316,18751,19043,14559,10197,5006,7490,6966,6056,5652,3988,3824,3118,3093,3800,3800,4000,4100,5162,6654,6700,6700
548,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,114,31,40,37,105,57,60
862,"Venezuela, Boliv Rep of",272,289,327,450,807,863,405,401,712,802,537,1119,2099,2654,4138,5679,7330,8914,9670,10860,13410,16622,17860,15705,24006,19228,23356,19951,18763,14844,18225,23954,26115
704,Viet Nam,98160,102810,107770,112920,118000,128000,125749,140047,152617,163217,160076,165104,167899,183061,338084,381069,299288,322378,338920,398468,498517,588098,703041,937502,1198617,1437300,1657727,2085400,2462450,2556080,2671800,2845600,3085500
890,Yugoslavia SFR,13883,16212,15319,15299,11617,11086,11647,11524,11867,11888,12990,6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,Zambia,27,45,72,202,340,363,695,1091,1147,1180,1460,2470,3700,4655,4530,4081,4770,4718,4159,4180,4240,4520,4630,4501,5125,5125,5210,5876,5640,8505,10290,10530,12988
716,Zimbabwe,75,76,74,131,138,140,150,156,165,160,157,134,132,130,130,150,170,170,170,1203,2151,2285,2213,2600,2955,2452,2450,2500,2602,2652,2702,7602,8010
