UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
478,Mauritania,123,,,,66,,300,131,621,400,270,160,250,455,480,700,446,786,910,1039,1068,2532,1011,594,29,29,57,61,24,260,171,161,191,430,827,722,737
480,Mauritius,5203,8025,11149,10286,11648,11757,8542,7260,7158,6689,8011,7436,7978,11302,17517,15409,30790,19698,29329,39790,43743,44516,47215,32642,41688,53382,129390,93535,116935,145795,213499,227511,303721,235455,234172,298645,387945
175,Mayotte,,,,,,,,,,,,,,,,,,,,99,158,493,50,,1077,1498,1790,2154,2153,2478,3046,3097,4663,3416,2785,3639,3750
484,Mexico,12517,10023,24263,34599,35214,33866,27566,3672,8792,11290,5981,6277,37914,46275,62954,53245,73646,128026,158627,89832,81720,113596,97478,125722,143033,167526,184684,222609,304511,358125,439556,540423,590569,384623,529911,632011,638838
583,"Micronesia, Fed.States of",,,,,,,,,,,,,933,1718,1474,1261,2526,6209,4172,6465,3919,4825,2538,3280,2265,2157,2461,3297,3823,2665,1902,1946,3145,3952,5238,7961,8200
498,"Moldova, Republic of",,,,,,,,,,,,,,,,,,,2517,6540,13143,11280,9043,2763,3569,8500,9700,8988,13488,18871,22769,32159,49469,39764,42581,47798,53190
496,Mongolia,1800,660,1290,1497,1408,1144,903,1040,1310,1150,2040,2480,2400,2140,2370,,,20,,55,52,241,104,96,239,356,529,341,245,332,403,784,1187,1197,2727,4648,4800
499,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7734,12323,14802,13148,13082,15033,14417
500,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,235,245,213,212,228,206,267,334,318,362,386,325,343,335
504,Morocco,111,128,80,73,80,51,68,38,246,93,833,1339,2335,3707,2537,1241,3404,7775,7044,7905,6616,12241,14102,10509,9108,9275,12789,20904,32702,35816,59449,59585,71515,91700,120073,149653,141531
508,Mozambique,3876,1950,3730,5094,4216,3576,5950,9315,7810,6620,9922,14926,14000,9365,9635,11140,10500,10266,2249,2023,1623,3919,2483,4758,9399,8557,10986,33377,28916,33550,31776,26692,38895,39818,35480,58262,50358
104,Myanmar,2,2,8,,,,,,,,,,,,2392,3373,3125,2910,3988,4874,3461,1050,650,1027,460,1370,590,1468,2728,3083,2477,2752,4584,6022,10070,14503,16000
516,Namibia,,,,,,,,,,,,,,,,,,,,,7359,11319,13515,5933,24176,13091,9296,9394,19628,22025,20119,35312,39404,55636,51531,48936,40285
524,Nepal,,,,,,,,,,81,102,108,214,224,110,,,,,131,324,332,102,248,337,353,363,415,329,309,649,1055,1942,2792,2540,6084,6200
528,Netherlands,199773,257590,316270,368893,389405,330452,309790,272857,288218,308449,387935,509430,577895,613363,769525,867511,888606,791608,1017635,1191857,1141647,1107443,1230199,1304585,1161180,1231085,1333131,1700622,1836545,2078615,2283793,2614609,2919792,2774296,2792803,3287663,3416838
530,Netherlands Antilles,4562,4707,4710,6695,6900,7944,8857,8685,8793,5385,7021,8522,8469,9298,9511,7169,8222,8323,7672,10561,4106,5728,10004,6380,8184,7015,4507,6143,7271,10072,11795,11631,14001,18970,18470,,
540,New Caledonia,2231,2453,2597,2769,3222,2853,2701,2461,2108,2005,3440,4451,4036,3854,4231,4428,4606,5966,6275,6163,7065,7012,7037,5677,5713,6780,6806,8424,10065,11324,12518,14210,16451,11060,15867,15618,18189
554,New Zealand,10749,9742,11136,18444,16159,21193,21467,19872,19943,17547,23169,26885,31373,38756,35567,38356,34684,35515,40315,57537,58763,53802,52106,52445,54173,55504,56527,57020,67794,82971,87712,99598,121863,101767,121749,145461,154309
558,Nicaragua,915,1272,718,712,1427,220,1157,760,64,2,26,,,,,2118,2650,1460,1319,1930,1805,2278,4386,7843,7220,6074,6476,3732,3562,4481,4992,6599,7304,5814,7158,9293,12644
562,Niger,92,203,253,390,437,502,639,487,289,285,748,787,869,2108,1332,1835,1256,280,780,1259,1216,1342,760,399,504,621,253,432,502,579,797,760,1303,1362,1801,1188,1816
566,Nigeria,157543,176170,271826,345424,455399,522091,416319,366208,167954,113033,89984,165856,119705,150208,179641,190330,277711,278057,159748,146780,231844,205636,184278,178124,181565,451517,359997,484423,503235,613497,766089,892771,618062,786075,973724,2027797,1472658
580,Northern Mariana Is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,26840,28450,34897,57148,69963,58865,48443,47801,46334,70871,105217,120748,157582,177849,237376,307051,346048,310352,322087,490383,535642,562133,674766,612469,598317,653927,631475,560394,666504,700839,836430,1095053,1211292,1168750,1073782,1334635,1356959
512,Oman,1172,1210,1708,1896,1321,2538,2378,2421,2898,2750,2845,2397,2292,1943,2037,3951,3185,3563,4646,4293,4475,5060,5236,5077,5551,7930,10818,10648,11088,13796,20843,26758,31984,31928,35312,45018,54887
586,Pakistan,,,113,162,117,350,224,114,339,79,90,232,246,573,268,127,188,171,152,161,78,57,215,816,297,233,224,400,1092,1483,1859,3543,2149,2004,3208,4495,5385
585,Palau,,,,,,,,,,,,,,,,,,190,195,197,2070,1036,500,87,166,235,285,228,366,246,677,618,737,616,689,859,1899
275,"Palestine, Occupied Tr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7203,10511,12577,11289,14206,10353
591,Panama,2748,2827,3967,5471,6333,6537,7500,9015,9040,7999,7417,8277,6547,9300,9679,10611,12776,11951,11157,10891,14275,13059,15608,15125,15354,12292,16046,18176,16100,22373,21217,25111,32225,32972,38229,46902,56224
598,Papua New Guinea,10447,11700,15910,19300,28407,34528,28791,28472,26952,26053,36588,36660,44074,41053,36992,35189,35166,33064,33765,22398,28943,12904,15457,7819,11263,6633,9456,10095,12645,11034,17915,21615,28037,27575,24958,24905,44993
600,Paraguay,,,,,384,399,270,302,299,276,179,231,375,370,573,803,928,1605,2505,2292,3531,2978,3497,1592,1660,1636,1010,846,1461,1608,1518,2484,3866,4188,5921,6751,7271
604,Peru,415,388,136,501,3744,2779,741,20275,8340,2230,170,7505,8438,1203,1407,1001,960,818,2201,4002,5122,5846,13136,16740,15926,22298,24402,25760,27285,47739,29797,35908,72500,78503,162819,143707,144471
608,Philippines,35779,27651,31220,28106,36570,36535,52322,11158,2717,6325,19019,31254,63063,65730,84809,96109,110986,94601,108193,134789,139468,135303,94046,121492,108547,68515,89878,81405,68248,94558,93054,122750,146666,192298,134042,183623,246876
616,Poland,71260,76129,95370,102780,78712,52352,33644,53978,50396,55428,60173,77926,98600,81627,42418,39100,102455,128633,170956,183965,240180,262209,322730,260653,297715,369641,334621,383750,580258,713285,865112,1004049,1254800,1198484,1522223,1613249,1600111
620,Portugal,110028,87605,64904,77050,99999,157876,185598,141184,139282,201976,256373,424716,457133,390589,606040,757843,734928,627713,669888,763245,782858,749602,926322,1017066,860612,934922,947483,1101140,1261488,1334484,1539497,1843307,1884666,1581567,1794321,2027116,1874407
634,Qatar,,,,462,1149,1318,2268,1088,1081,1201,1348,1615,1587,1879,1812,2112,2470,2977,3680,4386,3789,1321,4949,5296,5580,6191,7319,6614,6987,12721,19192,24466,40916,49529,59545,61450,75398
642,Romania,26200,27950,28000,41600,56200,36800,28400,29000,22550,18230,20580,30030,35430,9130,37600,9413,5493,14813,21827,17115,40837,29512,53789,31911,30308,37299,48901,56132,75359,104832,136677,152064,212205,194419,183033,182095,199711
643,Russian Federation,,,,,,,,,,,,,,,,,34687,19074,253797,346190,418977,403046,265429,199065,190228,351173,449782,579835,805259,1176881,1437813,2017263,2421507,1991019,2373169,2715474,2722677
646,Rwanda,103,149,168,269,617,330,158,233,479,977,394,1341,296,221,117,243,263,196,55,55,116,190,198,73,113,120,173,135,28,37,455,3031,1787,5471,6419,11128,8312
638,Réunion,6898,8417,10968,12316,17629,13444,11093,14534,10723,13543,18532,23562,27172,25891,30241,32053,40282,34922,38478,44537,,,,,,,,,,,,,,,,,
654,Saint Helena,,,,,,9,7,8,7,10,12,,12,,,,,,,23,54,16,31,98,224,145,93,398,193,241,516,115,66,42,80,51,45
659,Saint Kitts and Nevis,363,258,283,351,459,486,585,563,661,578,588,693,937,856,930,620,620,433,328,2176,2170,2305,795,2199,2807,2063,1946,1862,2654,982,4114,3927,3714,3782,3847,3231,3000
662,Saint Lucia,634,679,1364,1298,1473,1202,1431,1522,1567,1260,1340,2028,2316,2800,2600,3679,3583,3291,3977,4347,4922,4205,4830,5186,4795,4147,4237,5065,5618,5988,6319,6810,8338,6322,6601,7404,8000
670,Saint Vincent/Grenadines,446,353,416,460,523,615,688,527,557,563,452,531,608,756,787,856,863,782,569,960,1032,1223,1204,1537,1146,1290,1358,1395,1609,1889,2033,2226,2523,1936,1961,2076,2468
882,Samoa,903,1668,1085,2534,1555,1986,1244,1076,1090,1610,1230,2018,2400,2900,3288,3300,3500,3960,3147,3355,6096,5744,4208,5984,8199,3599,3906,4831,4598,4606,6108,6561,6669,5063,5919,6744,6799
678,Sao Tome and Principe,,,,76,,65,,,,534,428,394,680,750,1200,680,1430,390,240,648,213,220,47,43,82,11,15,39,20,17,82,148,164,162,151,318,330
682,Saudi Arabia,9678,24204,30158,45949,72242,78513,92687,91223,74282,73428,59065,58612,63550,66896,56392,78170,57201,54882,52135,90022,88795,95221,105746,109980,108720,130656,129731,136350,181940,204496,242458,249580,222586,222687,382941,487306,636771
686,Senegal,6446,11916,15557,12420,20575,23200,13604,21110,16468,19484,18550,18892,38119,37042,47412,24539,21276,11752,11970,17215,11258,21797,15759,3789,1587,871,665,679,1499,1263,1072,2078,2825,1148,5796,17448,14825
688,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69930,90396,106035,80497,68800,101674,99577
891,Serbia and Montenegro,,,,,,,,,,,,,,,,,32768,11885,14598,19835,57364,52733,60647,38442,32867,39782,51381,44991,67987,64816,,,,,,,
690,Seychelles,87,122,79,151,88,84,56,82,92,289,179,3108,7619,4827,4698,5372,4076,6987,7987,8942,19206,18947,16270,3122,11497,15451,23610,67459,75806,78483,95700,81913,63538,87446,78943,95897,128000
694,Sierra Leone,1405,1484,2060,2610,5698,7416,1896,4235,3140,3600,2653,800,1225,1565,1850,2040,2030,1788,3609,3312,2829,3562,715,767,1013,2129,825,3733,1937,1955,1669,3591,3466,4052,2859,3442,3200
702,Singapore,68016,88799,103169,112845,141325,161704,183421,200335,224133,204376,257666,312955,370311,366126,361582,460545,543769,566502,619595,428546,407623,385893,259968,460657,533355,459899,483142,585487,693585,747313,737288,796334,899482,807036,951181,1142568,1074672
703,Slovakia,,,,,,,,,,,,,,,,,,25459,33433,34590,42100,43381,46955,32269,29493,31638,37116,37311,43771,50347,69650,61949,71975,68353,79608,91451,87825
705,Slovenia,,,,,,,,,,,,,,,,,19313,19653,23321,26839,28912,28547,29995,29280,26021,28206,31757,37569,50063,72047,66353,73614,88619,83150,80263,95246,86597
90,Solomon Islands,201,270,287,286,476,434,566,319,476,679,808,253,626,733,197,260,141,18,22,83,113,110,81,75,335,273,1093,338,562,636,1828,2352,2450,1826,2528,2512,1985
706,Somalia,0,69,0,2,213,,7,35,,,,,,5,10,10,95,270,80,,71,,,170,100,29,313,392,906,835,4068,2669,3745,5502,3644,6164,7200
710,South Africa,14797,17977,28726,27013,62846,127656,75750,96464,105649,70095,75863,80620,66819,105851,130815,141433,115443,90197,134565,155406,126823,153457,76505,55691,59125,60816,48368,75975,100936,124952,150878,192730,238670,260647,241257,270485,361875
724,Spain,151876,155758,245674,409615,544113,481232,526283,397564,389548,412142,699166,1284962,1685187,1766195,2286309,2662286,2797360,2621537,2638737,3105684,3134893,3069601,3545751,3286831,3351670,3715332,3852942,4904151,5222348,5632087,6359092,6980372,7101147,5907780,6512082,7309435,6487725
144,Sri Lanka,3480,2330,2133,12388,18270,5860,16356,15516,25361,29020,30974,33895,37197,22643,45089,53116,58391,34463,32074,58038,64867,78369,66164,59775,72871,75469,71205,69642,64949,77166,102020,113578,126073,131211,141117,162358,150109
666,St. Pierre and Miquelon,,,,129,106,111,121,257,278,239,407,441,480,490,370,544,456,517,860,1718,1000,1164,550,832,188,607,165,191,748,917,594,829,166,120,194,248,250
736,Sudan (former),34,57,61,47,820,787,771,701,127,860,48,145,393,2411,2500,2300,500,500,250,192,148,105,112,896,854,448,584,303,285,562,2251,2860,1927,4591,3748,8294,5229
740,Suriname,,,3156,1770,2228,2621,2443,2577,317,230,41,98,164,71,92,215,513,520,1475,1355,5055,5075,2837,1898,6211,2931,2781,3578,3296,4090,3003,3848,3176,4092,4729,2966,4400
748,Swaziland,,,,,,,,,,,,,,,,,,,,,,12112,10085,9738,8346,5597,6064,10304,14472,10989,6397,5287,4654,3568,3368,3591,3900
752,Sweden,194589,218430,245916,291971,325164,269928,267591,261981,257376,245222,333934,404897,418409,408307,449101,441490,467773,371756,448661,546076,587169,592593,634802,715463,709120,731570,804437,1046993,1300868,1597539,2027549,2530819,2764966,2617007,3294130,3633264,3652206
756,Switzerland,107974,138553,172983,190009,211739,205707,193191,194266,188971,193347,264921,332826,362960,345236,390226,392668,390463,353668,390403,417841,396052,360939,386603,375700,353835,366469,354827,402632,447767,469155,526803,593027,648598,627324,664839,768379,732273
760,Syrian Arab Republic,1770,5300,10072,10703,14136,19672,15239,19351,13970,13026,745,2747,419,978,577,451,546,1891,1452,61996,24869,39307,50829,55046,40931,12370,24756,25809,25599,23562,37105,42411,41085,68125,58683,79915,75000
158,Taiwan Province of China,57567,66942,111643,137475,151730,139719,150526,157236,190198,190704,197827,308247,403227,452004,425720,458830,491029,544243,560799,589723,612945,659786,481645,556677,546697,529354,465159,463792,485060,520662,541286,577963,738048,768569,901640,982545,1045141
762,Tajikistan,,,,,,,,,,,,,,,,,,,150,288,114,242,177,143,212,199,258,377,423,517,954,1016,1450,1133,3109,2956,3100
834,"Tanzania, United Rep. of",2581,1730,3220,1917,1479,1430,592,731,575,459,299,63,864,162,413,325,791,1290,311,354,756,455,198,189,450,763,136,586,595,540,1047,2297,3949,3996,3279,2245,3503
764,Thailand,7248,6682,8608,20996,23378,22223,28206,42821,85813,138312,283658,267149,537918,726846,794423,1052918,942090,830480,815616,825606,818353,866250,832366,840679,781767,1019634,1042654,1075572,1231718,1422521,1538329,1714711,2400289,1978634,2137320,2717030,3107868
626,TimorLeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,266,328,455,766,1074,3356,4821,4950
768,Togo,3375,3383,3265,6290,6367,5032,6071,3474,3791,6947,8084,11480,16937,14312,15309,17342,16453,9206,15557,16599,27085,22285,18481,12222,11965,13625,7156,7917,5296,8856,7831,7826,7156,10087,24367,32592,30891
776,Tonga,,,267,1240,359,396,633,241,358,381,269,313,252,365,233,364,333,479,542,653,832,840,869,872,1076,1293,1252,1296,1406,1594,1508,2390,1407,1665,3045,2237,1432
780,Trinidad and Tobago,5298,4553,7621,7657,10348,14930,12831,15441,15367,12792,13408,14007,7687,7646,4038,5583,3978,4219,5124,5555,6343,6725,8021,8009,7066,8726,11758,12063,13729,21990,19443,25655,26615,28898,27956,38580,44400
788,Tunisia,369,764,783,270,415,351,485,1303,701,688,70,150,1640,1316,2671,1335,1268,2238,7619,10710,7823,16734,14299,13276,11589,18688,18562,36201,28897,40363,47104,52749,71040,66629,66776,73635,83000
792,Turkey,394,544,429,40,160,434,251,108,2771,534,1637,3445,1871,11310,27828,24770,30557,18483,38149,50857,60975,84852,76286,59207,51881,30291,28981,45566,92230,101464,148217,175014,198576,187013,241579,270905,313660
795,Turkmenistan,,,,,,,,,,,,,,,,,,,305,174,223,439,152,99,119,205,162,424,521,860,617,859,1928,1527,3658,4057,4200
796,Turks and Caicos Is.,,,,,,,,,,,,,120,170,220,160,25,65,70,209,237,55,284,1526,2001,2154,2120,2316,2258,2242,2375,2215,2303,2370,2607,3690,3808
798,Tuvalu,,,,,,,,,,,,,,,,,,,,,,46,33,42,11,2,29,14,78,95,57,103,47,46,168,204,235
800,Uganda,,,,,,,,,,,,,,,,,,,,,100,2,73,78,101,53,108,1039,156,559,187,703,862,758,1493,2769,3291
804,Ukraine,,,,,,,,,,,,,,,,,,38340,40831,129791,76684,91624,120850,96776,111248,98890,93252,112538,138107,278987,455290,542987,741950,541105,457449,606183,800740
810,Un. Sov. Soc. Rep.,28259,45389,43690,51859,91190,76812,71151,133951,157517,157099,155909,155951,208628,166227,162985,45044,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,,,7367,9279,19500,20125,18581,17882,13983,15380,14080,13216,13200,13845,14698,20860,23446,16818,70248,30755,27550,18065,22561,67278,86781,106972,118991,187643,156975,122772,192991,259248,301684,312987,375297,437822,490500
826,United Kingdom,512538,556161,686861,900525,1033690,994448,885331,911156,874561,940598,1216053,1386818,1610006,1627924,1911161,1911905,1906861,1628852,1880350,1910091,2065025,2141619,2384028,2276998,2183811,2236944,2327559,2507661,2811525,3174317,3713854,4140438,4220392,3593968,3714441,4257951,4252935
840,United States of America,1890921,2085849,2228172,2674167,2633160,2988195,3174633,3621363,3702490,4051794,4748692,5662329,5389345,5756932,5573241,5999580,6024064,6290233,7043431,7141428,7080411,8138840,8576076,9405124,10450729,10289325,10633818,11653228,11964207,12765740,14058319,14440466,14952379,13858165,15496409,17466321,17561406
858,Uruguay,659,773,996,2798,4842,1470,1328,476,756,1029,1449,2746,1618,3168,3417,3381,5958,6013,6815,7522,9158,11294,13423,13087,12243,16765,12306,16495,16793,20050,28176,44006,51139,50899,61828,61771,53786
860,Uzbekistan,,,,,,,,,,,,,,,,,,,,930,1553,1325,1832,2688,1453,1363,1514,1159,1558,2023,1213,2121,4280,1963,3922,5689,6060
548,Vanuatu,6683,12182,12329,11660,15924,10411,7623,8870,7393,7362,4648,742,817,647,1105,579,1020,1182,1307,1021,1817,1015,600,681,1489,445,732,1652,1381,1746,2341,2774,3269,3479,3429,5011,4600
862,"Venezuela, Boliv Rep of",7538,11188,17933,21452,25618,29303,31057,9966,5920,4199,637,958,2713,1553,3217,4575,7035,16756,14916,31359,17421,23676,39545,40409,56553,65035,44483,16847,53790,61070,69782,179317,377274,484008,239562,125857,200806
704,Viet Nam,,,,,1153,,,,,,,,,,,,,620,1275,3579,6416,11757,3729,11569,34112,56926,111081,146342,213187,268033,293011,364018,449188,419375,507639,706112,815260
887,Yemen,1551,1551,4620,5467,7970,4684,5187,5026,4091,3845,3880,2015,2370,3570,2017,3472,3658,4047,5958,2448,3931,7170,3826,4313,5045,5758,6892,4515,3443,5585,9199,9408,10132,8891,14542,13653,21340
890,Yugoslavia SFR,35042,55107,63521,64266,70071,80463,66788,95457,60895,58534,72708,75190,95506,105785,114165,33567,,,,,,,,,,,,,,,,,,,,,
894,Zambia,1792,2594,7525,7321,2499,2431,2380,1777,350,110,482,234,485,679,421,760,1571,2080,2078,1446,1596,1702,600,1206,1700,2064,2407,4417,5556,7217,7594,10409,8931,8369,11715,19142,23200
716,Zimbabwe,2153,2359,1443,1615,3989,3524,2020,1662,972,7,1514,1665,1070,872,759,1125,2890,7729,10275,14499,18001,18683,9511,9925,8596,3896,2219,1681,3376,2658,5161,3475,4772,5952,21332,27269,27361
