UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
132,Cabo Verde,164,11,10,9,8,9,6,39,27,29,170,147,115,264,280,299,313,407,520,923,688,2157,1260,939,617,905,766,958,927,1117,1686,1973,3288,3019,2354,3686,3775
116,Cambodia,,,,,,,,,,,,,,,,,,,3168,7017,6328,3365,2436,2796,2713,461,559,3004,3146,9519,4129,3077,2423,4583,3807,4571,6605
120,Cameroon,4536,5327,6779,9276,11028,17164,17505,21130,21236,24675,38359,41210,49266,46562,53833,22291,26460,37638,18267,26601,14602,31369,35585,29588,27736,29363,23932,37773,45166,63838,77428,126708,178140,243347,188208,323817,249552
124,Canada,183631,205843,216644,267078,301589,298680,281406,335268,373051,355939,433087,511901,593327,659238,620315,675242,686876,821404,913404,1034070,1158864,1129210,1194105,1338632,1388320,1371032,1352993,1425108,1536689,1660135,1812380,1994423,2045524,2013225,2263544,2645812,2687864
136,Cayman Islands,,,,,765,1102,1150,1180,1200,1210,1203,2255,2662,2560,2294,3213,3361,2913,3147,2538,1135,463,665,641,954,1492,1905,1880,1623,855,2997,4005,2796,3356,3446,3468,4340
140,Central African Republic,546,597,487,343,733,99,,401,173,635,1504,1615,1231,1422,1937,1110,972,1071,507,302,161,628,174,503,221,271,353,1074,1104,1086,1317,1750,1999,2958,4033,3104,3200
148,Chad,,,,,,,,,,,,,,,,,,,1548,940,4399,1165,,28,5,71,763,1125,215,198,680,517,280,604,840,707,800
152,Chile,2006,1500,2368,1583,4914,5884,4529,2300,1600,800,200,1400,1070,4400,8600,9400,21893,18505,27574,45887,41599,38505,37099,54568,47958,57939,43595,79064,116531,89639,160958,179240,250668,113585,255448,372238,381999
156,China,,,,,,,,,71196,95390,112646,144281,333251,359498,207083,438090,680844,575929,855706,941293,1184170,1183283,991463,1127412,1795953,1787242,2197793,2388590,3125631,3979232,4125990,4511576,5143432,4976220,6154359,7572593,7441253
344,"China, Hong Kong SAR",182459,215346,254876,309811,361434,361504,469351,439507,439621,471609,624726,794280,1030588,988063,1111938,1232075,1398180,1376856,1647106,1831511,1928143,2096894,1611747,1593661,1948824,1768439,1766128,1752420,1907984,1882624,2036221,2224942,2414188,2546251,3040954,3513754,3663219
446,"China, Macao SAR",3839,4338,5845,9791,15027,6201,7595,9268,9913,8986,10508,13489,12984,13515,18602,15003,13432,15091,16376,19065,18150,17296,17009,13236,13626,16387,21369,27433,27841,32516,35017,44241,52734,60279,69888,84293,98828
170,Colombia,22584,27991,41098,63385,62983,84249,84183,46928,76697,43715,48142,36182,48572,30412,43556,52100,53546,71925,95962,118656,113986,110782,111243,71028,74794,72917,76651,79657,100978,130326,142987,174105,240404,228279,259581,315064,370611
174,Comoros,,,,,,436,502,222,378,87,517,460,520,600,650,750,730,1160,915,465,331,331,516,461,335,439,229,623,859,709,735,463,2056,1167,1998,1864,2100
180,"Congo, Dem. Rep. of the",31363,29119,31993,33000,31200,45634,35680,59395,32150,46789,58510,54770,50699,63803,40000,25032,38816,39694,38512,47985,51231,45827,51432,40701,26217,35659,38565,38708,45428,54776,62473,85034,93769,81000,113562,144511,175200
178,"Congo, Republic of",4286,4231,11134,13525,15012,15651,17102,19126,29572,31953,38750,32171,24300,20423,21993,25689,31509,34966,21726,27048,34795,28194,19744,18656,20661,24714,12306,9925,18088,10804,16343,11886,30037,51254,17031,46518,53000
184,Cook Islands,163,284,282,327,275,397,230,354,230,225,140,250,197,280,446,589,620,585,620,438,385,337,533,546,296,589,485,1115,739,1000,985,1097,760,805,1342,962,1000
188,Costa Rica,946,1546,1462,2636,4693,1243,908,2931,5342,5211,4341,8538,9511,11846,15033,12941,14427,14069,23985,22002,27485,47868,36929,25359,19672,23123,32117,28179,31780,31535,39761,44972,60981,54727,49264,73379,323765
191,Croatia,,,,,,,,,,,,,,,,,21380,23405,25199,32978,37100,43043,40179,34825,38480,64708,83978,90042,77675,103164,112487,126954,141989,104044,103862,124851,114282
192,Cuba,44448,44001,59650,52562,81168,86068,47788,57149,30499,61719,55479,51846,60697,43180,36486,15361,11844,18921,18672,27317,21951,16692,23985,32495,43005,37387,29088,36165,51556,53835,38910,53103,66390,43324,25680,31530,33500
531,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11727,13000
196,Cyprus,1730,2689,4903,4532,6255,6532,8895,8067,7818,9138,11387,16980,17122,21360,23539,26299,33267,28283,30242,38327,34668,31893,36289,31891,30095,33891,33366,37254,52278,54523,57704,79519,100207,78040,79730,93858,92771
203,Czech Republic,,,,,,,,,,,,,,,,,,53736,69636,83952,96434,90899,89390,73795,73705,87136,91199,98373,114596,138798,156880,185361,228245,201772,212406,252896,251861
200,Czechoslovakia,81649,73887,85881,89562,100760,95014,89345,77250,79542,73388,89253,95146,113710,98907,71662,61402,57500,,,,,,,,,,,,,,,,,,,,
384,Côte d'Ivoire,29562,31729,42831,58567,77547,85733,81297,70268,56264,67699,78673,106750,139236,136234,109262,114927,117001,110420,157267,164825,172571,153216,190814,172834,132069,150351,180350,201697,189760,204676,230511,279681,398366,363543,288971,337363,341926
208,Denmark,115724,175106,220878,269551,330663,304762,298147,309213,326692,370442,596060,842476,852440,864219,1116108,1148255,1197370,1094253,1415239,1573732,1618669,1521181,1704234,1771500,1806365,1733545,1805598,2084466,2286337,2554663,2838443,2887159,3110650,2734798,3004299,3216648,3117886
262,Djibouti,,,,,,,809,430,613,767,496,371,810,570,569,697,1087,1150,1130,1029,868,1336,1687,2040,1518,915,641,679,1531,1365,2348,2004,2994,2360,1184,2226,2500
212,Dominica,670,492,591,500,357,324,587,537,659,685,664,648,723,1029,1361,1353,1390,1420,1357,3047,1676,1371,2102,1539,1581,1254,1408,1312,1551,1645,1666,1815,1964,2375,1825,2191,2132
214,Dominican Republic,5775,14412,14451,19958,24205,19027,16848,15984,7901,15256,25010,18410,21050,23400,24000,21032,24494,29635,28835,38621,36623,47693,51130,53102,52992,57099,69909,55969,59972,71161,81067,90361,116582,126185,137602,158248,172813
218,Ecuador,17,34,58,57,69,61,28,0,10,123,5,,,,1874,5752,920,3723,9454,12726,16224,5496,31065,5060,2201,4716,25122,29922,21458,8666,12710,55887,233474,225108,228195,293741,198477
818,Egypt,25518,26807,54400,21768,33222,66704,66600,81027,94256,55604,79881,57841,64249,67537,80922,74610,78410,50158,91818,79036,119355,102672,147946,153061,170902,162530,107305,110119,134168,149328,167432,223865,377783,475547,499929,530896,782003
222,El Salvador,1471,2400,2333,2506,3738,2417,948,570,1541,1470,3782,2814,2301,3521,2283,2325,4778,3743,5841,6265,5589,5907,5157,6640,8836,8514,6510,10040,17589,46069,36795,54324,29429,77039,42748,31699,44501
226,Equatorial Guinea,,,,,1827,3256,3408,1820,1658,4583,1597,2647,2299,2109,1713,1580,1042,852,307,2068,1419,2469,1265,2508,2674,5079,4832,9078,12528,11344,16115,17413,16081,25692,19362,23223,28600
232,Eritrea,,,,,,,,,,,,,,,,,,,,36,5,34,2,54,117,251,305,998,403,191,492,233,315,106,247,46,200
233,Estonia,,,,,,,,,,,,,,,,,541,2613,12893,18062,19640,41447,50720,30951,30774,44417,61770,78235,59549,73907,83220,119600,133934,95472,101262,143218,184528
231,Ethiopia,,,,,,,,,,,,,,,,,130,39,186,87,229,166,135,180,102,40,481,681,319,561,1019,795,1741,1096,1249,1614,2138
230,Ethiopia PDR,301,466,447,76,25,492,31,42,65,82,110,13,114,1114,209,80,0,,,,,,,,,,,,,,,,,,,,
238,Falkland Is.(Malvinas),,,,,,,,,,,,,,,18,27,19,29,49,87,70,114,288,137,317,301,79,114,334,260,215,133,186,217,211,283,180
234,Faroe Islands,1314,158,2037,1278,1438,4010,3817,3235,2721,1874,3909,5724,12228,6533,12270,17115,26552,10906,14697,20382,10969,13072,15762,15372,17141,10944,12690,8238,13070,14996,12867,15328,31006,23586,23311,29473,32500
242,"Fiji, Republic of",8079,11838,17208,11827,16815,16248,12734,9373,9702,12210,15571,19943,28950,18627,19798,20602,25546,37080,18147,26822,19881,22535,21245,16229,8423,21216,17099,39973,39259,37330,35009,34300,40772,37233,59480,127749,150886
246,Finland,53237,54902,67492,79433,104562,101121,94829,94611,88167,85530,106456,130177,139592,148739,132027,128974,123875,102624,140725,113239,137447,126096,134456,118244,116153,131613,141131,170414,203703,215007,265590,324221,346855,346391,395632,462659,444237
250,France,524803,655109,812135,997959,1131198,1042791,1035955,1049661,975596,1039847,1510431,2021868,2243783,2193878,2809033,2925994,2934588,2556151,2796719,3221298,3194133,3062051,3505333,3280940,2983618,3055859,3206511,3771152,4176418,4562629,5069238,5366203,5835957,5579174,5949313,6567065,6040282
254,French Guiana,2319,2971,3427,6713,11955,22956,20049,26216,19363,14692,14479,10527,3159,3871,4407,3692,5143,3898,4502,5136,,,,,,,,,,,,,,,,,
258,French Polynesia,2882,2587,3499,4719,4840,4757,4809,4646,4258,4159,6919,6239,6650,7154,7071,6390,8579,8934,8689,10461,10302,8874,10304,8902,9468,9738,10880,13535,13481,17140,19051,18267,18539,18884,17683,14971,18354
266,Gabon,3296,6188,5680,8105,10117,11240,10792,9210,10249,9922,13443,14531,12696,11590,12144,14670,14618,16094,8382,5500,13591,11869,11313,9483,9840,10548,1717,7514,9925,11428,13211,13815,17607,19632,21887,33068,42300
270,Gambia,2410,3030,1970,140,150,549,502,959,1080,500,500,350,,7,15,140,200,493,202,275,413,296,1231,427,495,1105,454,290,484,429,579,907,800,792,1486,772,900
268,Georgia,,,,,,,,,,,,,,,,,,347,295,1378,3140,4358,2801,1430,1387,1201,1580,2200,6449,11914,27293,34746,43399,32267,35804,43295,45119
276,Germany,534073,664498,763940,882452,1021855,817448,821829,830280,799623,818616,1112060,1268964,1428863,1479366,1899729,2114720,2190892,1884301,2316449,2478817,2542957,2362914,2623741,2288523,2262018,2349088,2419534,2635070,2804924,3234841,3738906,4278560,4501743,4570607,4717722,5513806,5305407
288,Ghana,28377,20953,63575,39880,34241,25065,15191,15907,9674,17298,17590,11584,6820,11300,11100,13138,22924,19983,22536,30442,68911,63659,104999,103199,83645,92306,125338,58354,116773,190710,125299,170782,128725,121385,146368,281394,244228
300,Greece,29032,31468,44491,60202,62224,81060,84678,74545,79506,81764,107309,123587,139055,169689,190015,172982,182671,162957,173694,213230,282665,297437,292098,308440,276043,302029,379619,441847,473500,517361,589059,754325,784898,709365,654142,705729,636325
304,Greenland,451,607,969,581,778,702,700,696,3881,597,962,3005,1413,3628,1829,5883,14117,4270,3455,4101,1772,668,1564,1412,1432,1510,2175,3461,4256,3606,5226,2545,5056,6537,6027,5885,5544
308,Grenada,,,779,835,958,1114,984,680,940,1062,1005,1365,1259,1507,1625,2008,1568,1224,1302,1783,2214,2190,2391,2533,2181,2556,2557,2550,2676,2965,3919,4701,4619,3806,2924,2815,3200
312,Guadeloupe,4048,4752,5686,7076,8138,8140,7130,8190,6977,7645,10736,14512,16337,15746,18712,22063,24291,21199,25182,30393,,,,,,,,,,,,,,,,,
316,Guam,,1951,3238,6513,5501,,,6611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,1197,1353,1418,2643,2446,2301,2213,1917,2200,1905,1468,3318,3037,5446,4827,3657,4210,5848,7954,8771,3866,6212,7819,6790,8199,11353,18818,23227,33707,34994,38951,43996,36829,43781,75487,76705,94446
324,Guinea,,,,3411,4205,3563,4249,5130,5310,3091,6535,4480,5050,4090,6385,8430,11439,12115,11784,12295,13295,13133,12848,13533,317,1186,864,1426,518,634,324,606,917,3905,4321,4922,4800
624,GuineaBissau,461,140,159,260,298,233,107,160,231,467,403,370,320,350,540,420,420,430,400,506,552,671,533,487,283,155,140,58,20,84,389,1452,1684,1456,708,1247,1300
