Indicator_Code,Country_Code,Time_Code,Weights
NY.GNP.ATLS.CD                ,JAM,YR2000    ,6979808256
NY.GNP.ATLS.CD                ,JOR,YR2000    ,8425606656
NY.GNP.ATLS.CD                ,JPN,YR2000    ,4.49151E+12
NY.GNP.ATLS.CD                ,KAZ,YR2000    ,18862389248
NY.GNP.ATLS.CD                ,KEN,YR2000    ,10596534272
NY.GNP.ATLS.CD                ,KGZ,YR2000    ,1373238272
NY.GNP.ATLS.CD                ,KHM,YR2000    ,3510833920
NY.GNP.ATLS.CD                ,KIR,YR2000    ,88965048
NY.GNP.ATLS.CD                ,KNA,YR2000    ,288090784
NY.GNP.ATLS.CD                ,KOR,YR2000    ,4.60325E+11
NY.GNP.ATLS.CD                ,KWT,YR2000    ,35660488704
NY.GNP.ATLS.CD                ,LAO,YR2000    ,1519112832
NY.GNP.ATLS.CD                ,LBN,YR2000    ,17296861184
NY.GNP.ATLS.CD                ,LBR,YR2000    ,418303776
NY.GNP.ATLS.CD                ,LBY,YR2000    ,30269859840
NY.GNP.ATLS.CD                ,LCA,YR2000    ,621976768
NY.GNP.ATLS.CD                ,LIE,YR2000    ,1368499968
NY.GNP.ATLS.CD                ,LKA,YR2000    ,16422731776
NY.GNP.ATLS.CD                ,LSO,YR2000    ,1119262720
NY.GNP.ATLS.CD                ,LTU,YR2000    ,11096322048
NY.GNP.ATLS.CD                ,LUX,YR2000    ,19149193216
NY.GNP.ATLS.CD                ,LVA,YR2000    ,6983986688
NY.GNP.ATLS.CD                ,MAC,YR2000    ,6379890176
NY.GNP.ATLS.CD                ,MAR,YR2000    ,33957494784
NY.GNP.ATLS.CD                ,MCO,YR2000    ,799156992
NY.GNP.ATLS.CD                ,MDA,YR2000    ,1421242496
NY.GNP.ATLS.CD                ,MDG,YR2000    ,3870098944
NY.GNP.ATLS.CD                ,MDV,YR2000    ,584070592
NY.GNP.ATLS.CD                ,MEX,YR2000    ,5.0063E+11
NY.GNP.ATLS.CD                ,MHL,YR2000    ,114336232
NY.GNP.ATLS.CD                ,MKD,YR2000    ,3709165312
NY.GNP.ATLS.CD                ,MLI,YR2000    ,2592348928
NY.GNP.ATLS.CD                ,MLT,YR2000    ,3627844352
NY.GNP.ATLS.CD                ,MMR,YR2000    ,13790659584
NY.GNP.ATLS.CD,MNE,YR2000    ,923301888
NY.GNP.ATLS.CD                ,MNG,YR2000    ,946852480
NY.GNP.ATLS.CD                ,MNP,YR2000    ,949680000
NY.GNP.ATLS.CD                ,MOZ,YR2000    ,3712118272
NY.GNP.ATLS.CD                ,MRT,YR2000    ,1031278848
NY.GNP.ATLS.CD                ,MUS,YR2000    ,4384665088
NY.GNP.ATLS.CD                ,MWI,YR2000    ,1740304256
NY.GNP.ATLS.CD                ,MYS,YR2000    ,78826856448
NY.GNP.ATLS.CD                ,MYT,YR2000    ,1019160000
NY.GNP.ATLS.CD                ,NAM,YR2000    ,3638835456
NY.GNP.ATLS.CD                ,NCL,YR2000    ,2989303296
NY.GNP.ATLS.CD                ,NER,YR2000    ,1911914240
NY.GNP.ATLS.CD                ,NGA,YR2000    ,33122998272
NY.GNP.ATLS.CD                ,NIC,YR2000    ,2625943296
NY.GNP.ATLS.CD                ,NLD,YR2000    ,4.03292E+11
NY.GNP.ATLS.CD                ,NOR,YR2000    ,1.60128E+11
NY.GNP.ATLS.CD                ,NPL,YR2000    ,5407428096
NY.GNP.ATLS.CD                ,NZL,YR2000    ,52012195840
NY.GNP.ATLS.CD                ,OMN,YR2000    ,16166254592
NY.GNP.ATLS.CD                ,PAK,YR2000    ,63327051776
NY.GNP.ATLS.CD                ,PAN,YR2000    ,11179540480
NY.GNP.ATLS.CD                ,PER,YR2000    ,53125476352
NY.GNP.ATLS.CD                ,PHL,YR2000    ,78749499392
NY.GNP.ATLS.CD                ,PLW,YR2000    ,136393792
NY.GNP.ATLS.CD                ,PNG,YR2000    ,3426207232
NY.GNP.ATLS.CD                ,POL,YR2000    ,1.71546E+11
NY.GNP.ATLS.CD                ,PRI,YR2000    ,40274313216
NY.GNP.ATLS.CD                ,PRK,YR2000    ,4453600256
NY.GNP.ATLS.CD                ,PRT,YR2000    ,1.12312E+11
NY.GNP.ATLS.CD                ,PRY,YR2000    ,8026797056
NY.GNP.ATLS.CD                ,PYF,YR2000    ,3794298368
NY.GNP.ATLS.CD                ,QAT,YR2000    ,17759889408
NY.GNP.ATLS.CD                ,ROM,YR2000    ,37661003776
NY.GNP.ATLS.CD                ,RUS,YR2000    ,2.50282E+11
NY.GNP.ATLS.CD                ,RWA,YR2000    ,2001535360
NY.GNP.ATLS.CD                ,SAU,YR2000    ,1.68354E+11
NY.GNP.ATLS.CD                ,SDN,YR2000    ,10292186112
NY.GNP.ATLS.CD                ,SEN,YR2000    ,4709383168
NY.GNP.ATLS.CD                ,SGP,YR2000    ,92403507200
NY.GNP.ATLS.CD                ,SLB,YR2000    ,277533472
NY.GNP.ATLS.CD                ,SLE,YR2000    ,634063616
NY.GNP.ATLS.CD                ,SLV,YR2000    ,12559105024
NY.GNP.ATLS.CD                ,SMR,YR2000    ,729259008
NY.GNP.ATLS.CD                ,SOM,YR2000    ,1220800000
NY.GNP.ATLS.CD,SRB,YR2000    ,6294007296
NY.GNP.ATLS.CD                ,STP,YR2000    ,42777776
NY.GNP.ATLS.CD                ,SUR,YR2000    ,944283648
NY.GNP.ATLS.CD                ,SVK,YR2000    ,20826271744
NY.GNP.ATLS.CD                ,SVN,YR2000    ,20387905536
NY.GNP.ATLS.CD                ,SWE,YR2000    ,2.54327E+11
