Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2004,59.65,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2005,115.7,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2006,124.65,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2004,62.7,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2005,117.4,,Official data
QI,Production Indices,1,Armenia,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2006,119.9,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,107.61,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,100.49,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,91.9,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2004,104.6,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2005,107,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2006,88.41,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2004,107.97,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2005,95.24,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2006,96.78,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2004,112.02,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2005,93.63,,Official data
QI,Production Indices,2,Afghanistan,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2006,94.36,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,97.57,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,99.57,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,102.87,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),951,"Milk, whole fresh buffalo",2004,90.73,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),951,"Milk, whole fresh buffalo",2005,91.3,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),951,"Milk, whole fresh buffalo",2006,117.97,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2004,99.42,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2005,100.04,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2006,100.54,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2004,100.35,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2005,99.57,,Official data
QI,Production Indices,3,Albania,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2006,100.08,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,93.29,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,98.99,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,107.72,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2004,96.11,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2005,96.8,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2006,107.09,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2004,96.37,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2005,91.81,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1020,"Milk, whole fresh goat",2006,111.82,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2004,100.41,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2005,97.24,,Official data
QI,Production Indices,4,Algeria,434,Gross per capita Production Index Number (2004-2006 = 100),1130,"Milk, whole fresh camel",2006,102.36,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,100,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,100,,Official data
QI,Production Indices,5,American Samoa,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,100,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,108.2,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,107.56,,Official data
QI,Production Indices,7,Angola,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,84.24,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,101.66,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,92.93,,Official data
QI,Production Indices,8,Antigua and Barbuda,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,105.42,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,86.07,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,104.37,,Official data
QI,Production Indices,9,Argentina,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,109.56,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,101.34,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,100.35,,Official data
QI,Production Indices,10,Australia,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,98.32,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2004,100.68,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2005,99.36,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),882,"Milk, whole fresh cow",2006,99.96,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2004,101.7,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2005,103.1,,Official data
QI,Production Indices,11,Austria,434,Gross per capita Production Index Number (2004-2006 = 100),982,"Milk, whole fresh sheep",2006,95.2,,Official data
