STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
QC.YIELD.WHT.HG.GR10,QC.YIELD.WHT.HG.NO,,QC.YIELD.WHT.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.WHT.HG.GR12,QC.YIELD.WHT.HG.NO,,QC.YIELD.WHT.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.OILCRPS.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.OILCRPS.TN.SHW,QC.PRD.OILCRPS.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.OILCRPS.TN.SHL,QC.PRD.OILCRPS.TN.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.PRD.OILCRPS.TN.SHP,QC.PRD.OILCRPS.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.OILCRPS.TN.GR10,QC.PRD.OILCRPS.TN.NO,,QC.PRD.OILCRPS.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.OILCRPS.TN.GR12,QC.PRD.OILCRPS.TN.NO,,QC.PRD.OILCRPS.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.OILCRPS.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.OILCRPS.HA.SHW,QC.RHRV.OILCRPS.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.OILCRPS.HA.GR10,QC.RHRV.OILCRPS.HA.NO,,QC.RHRV.OILCRPS.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.OILCRPS.HA.GR12,QC.RHRV.OILCRPS.HA.NO,,QC.RHRV.OILCRPS.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.OILCRPS.HG.NO,,,QC.RHRV.OILCRPS.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.OILCRPS.HG.GR10,QC.YIELD.OILCRPS.HG.NO,,QC.YIELD.OILCRPS.HG.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.YIELD.OILCRPS.HG.GR12,QC.YIELD.OILCRPS.HG.NO,,QC.YIELD.OILCRPS.HG.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.PRD.PULSE.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.PULSE.TN.SHP,QC.PRD.PULSE.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.PULSE.TN.GR10,QC.PRD.PULSE.TN.NO,,QC.PRD.PULSE.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.PULSE.TN.GR12,QC.PRD.PULSE.TN.NO,,QC.PRD.PULSE.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.PULSE.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.PULSE.HA.GR10,QC.RHRV.PULSE.HA.NO,,QC.RHRV.PULSE.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.PULSE.HA.GR12,QC.RHRV.PULSE.HA.NO,,QC.RHRV.PULSE.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.PULSE.HG.NO,,,QC.RHRV.PULSE.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.PULSE.HG.GR10,QC.YIELD.PULSE.HG.NO,,QC.YIELD.PULSE.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.PULSE.HG.GR12,QC.YIELD.PULSE.HG.NO,,QC.YIELD.PULSE.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.RTTB.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.RTTB.TN.SHW,QC.PRD.RTTB.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.RTTB.TN.SHP,QC.PRD.RTTB.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.RTTB.TN.GR10,QC.PRD.RTTB.TN.NO,,QC.PRD.RTTB.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.RTTB.TN.GR12,QC.PRD.RTTB.TN.NO,,QC.PRD.RTTB.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.RTTB.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.RTTB.HA.SHW,QC.RHRV.RTTB.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.RTTB.HA.SHL,QC.RHRV.RTTB.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.RTTB.HA.GR10,QC.RHRV.RTTB.HA.NO,,QC.RHRV.RTTB.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.RTTB.HA.GR12,QC.RHRV.RTTB.HA.NO,,QC.RHRV.RTTB.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.RTTB.HG.NO,,,QC.RHRV.RTTB.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.RTTB.HG.GR10,QC.YIELD.RTTB.HG.NO,,QC.YIELD.RTTB.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.RTTB.HG.GR12,QC.YIELD.RTTB.HG.NO,,QC.YIELD.RTTB.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.VEG.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.VEG.TN.SHW,QC.PRD.VEG.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.VEG.TN.SHP,QC.PRD.VEG.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.VEG.TN.GR10,QC.PRD.VEG.TN.NO,,QC.PRD.VEG.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.VEG.TN.GR12,QC.PRD.VEG.TN.NO,,QC.PRD.VEG.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.VEG.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.VEG.HA.SHW,QC.RHRV.VEG.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.VEG.HA.SHL,QC.RHRV.VEG.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.VEG.HA.GR10,QC.RHRV.VEG.HA.NO,,QC.RHRV.VEG.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.VEG.HA.GR12,QC.RHRV.VEG.HA.NO,,QC.RHRV.VEG.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.VEG.HG.NO,,,QC.RHRV.VEG.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.VEG.HG.GR10,QC.YIELD.VEG.HG.NO,,QC.YIELD.VEG.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.VEG.HG.GR12,QC.YIELD.VEG.HG.NO,,QC.YIELD.VEG.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.SU.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.SU.TN.SHW,QC.PRD.SU.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.SU.TN.SHP,QC.PRD.SU.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.SU.TN.GR10,QC.PRD.SU.TN.NO,,QC.PRD.SU.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.SU.TN.GR12,QC.PRD.SU.TN.NO,,QC.PRD.SU.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.SU.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.SU.HA.SHW,QC.RHRV.SU.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.SU.HA.SHL,QC.RHRV.SU.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.SU.HA.GR10,QC.RHRV.SU.HA.NO,,QC.RHRV.SU.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.SU.HA.GR12,QC.RHRV.SU.HA.NO,,QC.RHRV.SU.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.SU.HG.NO,,,QC.RHRV.SU.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.SU.HG.GR10,QC.YIELD.SU.HG.NO,,QC.YIELD.SU.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.SU.HG.GR12,QC.YIELD.SU.HG.NO,,QC.YIELD.SU.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.TN.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.TN.TN.SHP,QC.PRD.TN.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.TN.TN.GR10,QC.PRD.TN.TN.NO,,QC.PRD.TN.TN.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.PRD.TN.TN.GR12,QC.PRD.TN.TN.NO,,QC.PRD.TN.TN.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.RHRV.TN.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.TN.HA.GR10,QC.RHRV.TN.HA.NO,,QC.RHRV.TN.HA.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.RHRV.TN.HA.GR12,QC.RHRV.TN.HA.NO,,QC.RHRV.TN.HA.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.YIELD.TN.HG.NO,,,QC.RHRV.TN.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.TN.HG.GR10,QC.YIELD.TN.HG.NO,,QC.YIELD.TN.HG.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.YIELD.TN.HG.GR12,QC.YIELD.TN.HG.NO,,QC.YIELD.TN.HG.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.PRD.FRU.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.FRU.TN.SHW,QC.PRD.FRU.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.FRU.TN.SHP,QC.PRD.FRU.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.FRU.TN.GR10,QC.PRD.FRU.TN.NO,,QC.PRD.FRU.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.FRU.TN.GR12,QC.PRD.FRU.TN.NO,,QC.PRD.FRU.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.FRU.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.FRU.HA.SHW,QC.RHRV.FRU.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.FRU.HA.SHL,QC.RHRV.FRU.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.FRU.HA.GR10,QC.RHRV.FRU.HA.NO,,QC.RHRV.FRU.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.FRU.HA.GR12,QC.RHRV.FRU.HA.NO,,QC.RHRV.FRU.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.FRU.HG.NO,,,QC.RHRV.FRU.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.FRU.HG.GR10,QC.YIELD.FRU.HG.NO,,QC.YIELD.FRU.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.FRU.HG.GR12,QC.YIELD.FRU.HG.NO,,QC.YIELD.FRU.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.CIFRU.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.CIFRU.TN.SHP,QC.PRD.CIFRU.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.CIFRU.TN.GR10,QC.PRD.CIFRU.TN.NO,,QC.PRD.CIFRU.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.CIFRU.TN.GR12,QC.PRD.CIFRU.TN.NO,,QC.PRD.CIFRU.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CIFRU.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.CIFRU.HA.GR10,QC.RHRV.CIFRU.HA.NO,,QC.RHRV.CIFRU.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CIFRU.HA.GR12,QC.RHRV.CIFRU.HA.NO,,QC.RHRV.CIFRU.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CIFRU.HG.NO,,,QC.RHRV.CIFRU.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.CIFRU.HG.GR10,QC.YIELD.CIFRU.HG.NO,,QC.YIELD.CIFRU.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CIFRU.HG.GR12,QC.YIELD.CIFRU.HG.NO,,QC.YIELD.CIFRU.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.FC.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.FC.TN.SHP,QC.PRD.FC.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.FC.TN.GR10,QC.PRD.FC.TN.NO,,QC.PRD.FC.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.FC.TN.GR12,QC.PRD.FC.TN.NO,,QC.PRD.FC.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.FC.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.FC.HA.GR10,QC.RHRV.FC.HA.NO,,QC.RHRV.FC.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.FC.HA.GR12,QC.RHRV.FC.HA.NO,,QC.RHRV.FC.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.FC.HG.NO,,,QC.RHRV.FC.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.FC.HG.GR10,QC.YIELD.FC.HG.NO,,QC.YIELD.FC.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.FC.HG.GR12,QC.YIELD.FC.HG.NO,,QC.YIELD.FC.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.JJ.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.JJ.TN.SHP,QC.PRD.JJ.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.JJ.TN.GR10,QC.PRD.JJ.TN.NO,,QC.PRD.FC.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.JJ.TN.GR12,QC.PRD.JJ.TN.NO,,QC.PRD.FC.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.JJ.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.JJ.HA.GR10,QC.RHRV.JJ.HA.NO,,QC.RHRV.JJ.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.JJ.HA.GR12,QC.RHRV.JJ.HA.NO,,QC.RHRV.JJ.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.JJ.HG.NO,,,QC.RHRV.JJ.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.JJ.HG.GR10,QC.YIELD.JJ.HG.NO,,QC.YIELD.JJ.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.JJ.HG.GR12,QC.YIELD.JJ.HG.NO,,QC.YIELD.JJ.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QA.STCK.CB.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.CB.HD.SHW,QA.STCK.CB.HD.NO,,,share,,,sum,0.65,0,100,
QA.STCK.CB.HD.SHL,QA.STCK.CB.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,,
QA.STCK.CB.HD.GR12,QA.STCK.CB.HD.NO,,QA.STCK.CB.HD.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QA.STCK.SG.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.SG.HD.SHW,QA.STCK.SG.HD.NO,,,share,,,sum,0.65,0,100,
QA.STCK.SG.HD.SHL,QA.STCK.SG.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,,
QA.STCK.SG.HD.GR12,QA.STCK.SG.HD.NO,,QA.STCK.SG.HD.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QA.STCK.PB.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.PB.HD.SHL,QA.STCK.PB.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,,
QA.STCK.PB.HD.SHW,QA.STCK.PB.HD.NO,,,share,,,sum,0.65,0,100,
QA.STCK.PB.HD.GR12,QA.STCK.PB.HD.NO,,QA.STCK.PB.HD.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QA.STCK.PIG.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.PIG.HD.SHW,QA.STCK.PIG.HD.NO,,,share,,,sum,0.65,0,100,
QA.STCK.PIG.HD.SHL,QA.STCK.PIG.HD.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,,
QA.STCK.PIG.HD.GR12,QA.STCK.PIG.HD.NO,,QA.STCK.PIG.HD.NO,growth,12,geo,weighted.mean,0.65,0,,
QA.STCK.CHI.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.DU.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.GGF.HD.NO,,,,,,,sum,0.65,0,,
QA.STCK.TU.HD.NO,,,,,,,sum,0.65,0,,
QD.PRD.BOB.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.CCO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.CL.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.CSO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.CS.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.GNO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.LSO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.MO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.MS.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.ML.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.OOV.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.PKO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.PK.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.PO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.RO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.SAFO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.SO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.SBO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.SRC.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.SUFO.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.WINE.TN.NO,,,,,,,sum,0.65,0,,
QD.PRD.WINE.TN.SHW,QD.PRD.WINE.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.FRUNOGR.TN.NO,,,,manual,,,sum,0.65,0,,
QC.PRD.FRUNOGR.TN.GR12,QC.PRD.FRUNOGR.TN.NO,,QC.PRD.FRUNOGR.TN.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.PRD.FRUNOGR.TN.SHW,QC.PRD.FRUNOGR.TN.NO,,,share,,,sum,0.65,0,100,
QD.RHRV.VINE.HA.NO,,,,,,,sum,0.65,0,,
QD.RHRV.VINE.HA.SHW,QD.RHRV.VINE.HA.NO,,,share,,,sum,0.65,0,100,
QD.RHRV.VINE.HA.SHL,QD.RHRV.VINE.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.FRUNOGR.HA.NO,,,,manual,,,sum,0.65,0,,
QC.RHRV.FRUNOGR.HA.GR12,QC.RHRV.FRUNOGR.HA.NO,,QC.RHRV.FRUNOGR.HA.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.RHRV.FRUNOGR.HA.SHW,QC.RHRV.FRUNOGR.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.FRUNOGR.HA.SHL,QC.RHRV.FRUNOGR.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QL.PRD.TOT.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.TOT.TN.SHP,QL.PRD.TOT.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QL.PRD.TOT.TN.GR10,QL.PRD.TOT.TN.NO,,QL.PRD.TOT.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.TOT.TN.GR12,QL.PRD.TOT.TN.NO,,QL.PRD.TOT.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.BB.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.BB.TN.SHP,QL.PRD.BB.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QL.PRD.BB.TN.GR10,QL.PRD.BB.TN.NO,,QL.PRD.BB.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.BB.TN.GR12,QL.PRD.BB.TN.NO,,QL.PRD.BB.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.SG.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.SG.TN.SHP,QL.PRD.SG.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QL.PRD.SG.TN.GR10,QL.PRD.SG.TN.NO,,QL.PRD.SG.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.SG.TN.GR12,QL.PRD.SG.TN.NO,,QL.PRD.SG.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.POU.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.POU.TN.SHP,QL.PRD.POU.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QL.PRD.POU.TN.GR10,QL.PRD.POU.TN.NO,,QL.PRD.POU.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.POU.TN.GR12,QL.PRD.POU.TN.NO,,QL.PRD.POU.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.PIG.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.PIG.TN.SH,QL.PRD.PIG.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QL.PRD.PIG.TN.GR10,QL.PRD.PIG.TN.NO,,QL.PRD.PIG.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.PIG.TN.GR12,QL.PRD.PIG.TN.NO,,QL.PRD.PIG.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.EGG.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.EGG.TN.GR10,QL.PRD.EGG.TN.NO,,QL.PRD.EGG.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.EGG.TN.GR12,QL.PRD.EGG.TN.NO,,QL.PRD.EGG.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QL.PRD.MILK.TN.NO,,,,,,,sum,0.65,0,,
QL.PRD.MILK.TN.GR10,QL.PRD.MILK.TN.NO,,QL.PRD.MILK.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QL.PRD.MILK.TN.GR12,QL.PRD.MILK.TN.NO,,QL.PRD.MILK.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QP.PRD.BG.TN.NO,,,,,,,sum,0.65,0,,
QP.PRD.BG.TN.GR12,QP.PRD.BG.TN.NO,,QP.PRD.BG.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QP.PRD.CH.TN.NO,,,,,,,sum,0.65,0,,
QP.PRD.CH.TN.GR12,QP.PRD.CH.TN.NO,,QP.PRD.CH.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QP.PRD.ECM.TN.NO,,,,,,,sum,0.65,0,,
QP.PRD.SMBD.TN.NO,,,,,,,sum,0.65,0,,
QP.PRD.WOOL.TN.NO,,,,,,,sum,0.65,0,,
POP.TOT.BASE.0406,,,,manual,,,discard,0.65,0,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables
QV.GPV.FOOD.ID.NO,,,,,,,sum,0.65,0,,
QV.GPV.FOOD.BASE.0406,,,,manual,,,discard,0.65,0,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables
QV.GPCPV.FOOD.ID.SHP,QV.GPV.FOOD.ID.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,,
WEIGHT.POP.GPV.FOOD.0406,QV.GPV.FOOD.BASE.0406,POP.TOT.BASE.0406,,share,,,discard,0.65,0,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables
QV.NPV.FOOD.ID.NO,,,,,,,sum,0.65,0,,
QV.NPV.FOOD.BASE.0406,,,,manual,,,discard,0.65,0,,the aggregation is not needed but I need to specify it otherwise this variable will be excluded from the aggregation phase and cannot be used as weight for the aggregation of other variables
QV.NPCPV.FOOD.ID.SHP,QV.NPV.FOOD.ID.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,,
