STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
RL.AREA.AGR.HA.SH,RL.AREA.AGR.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.ARBL.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.ARBL.HA.SH,RL.AREA.ARBL.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.ARBL.HA.SHP,RL.AREA.ARBL.HA.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,,
RL.AREA.PRMNCR.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.PRMNCR.HA.SH,RL.AREA.PRMNCR.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.PRMNMP.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.PRMNMP.HA.SH,RL.AREA.PRMNMP.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.FOR.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.FOR.HA.SH,RL.AREA.FOR.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.FOR.HA.GR1,RL.AREA.FOR.HA.NO,,RL.AREA.FOR.HA.NO,growth,1,geo,weighted.mean,0.65,0,,
RL.AREA.FOR.HA.GR21,RL.AREA.FOR.HA.NO,,RL.AREA.FOR.HA.NO,growth,21,geo,weighted.mean,0.65,0,,
RL.AREA.OTH.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.OTH.HA.SH,RL.AREA.OTH.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,0.65,0,100,
RL.AREA.ARBLPRMN.HA.NO,,,,,,,sum,0.65,0,,
RL.AREA.ARBLPRMN.HA.GR11,RL.AREA.ARBLPRMN.HA.NO,,RL.AREA.ARBLPRMN.HA.NO,growth,11,geo,weighted.mean,0.65,0,,
RL.AREA.ARBLPRMN.HA.SH,RL.AREA.ARBLPRMN.HA.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,,
RL.AREA.INLWAT.HA.NO,,,,,,,sum,0.65,0,,
AQ.WAT.WATPCP.MC.NO,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.IRRPOT.HA.NO,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.EQIRR.HA.NO,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.SHIRR.HA.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWAGR.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWIND.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWMUN.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWTOT.MC.NO,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWTOT.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.RFRWTOT.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
AQ.WAT.RFRWAGR.MC.SH,,,,,,,discard,,,,"aquastat, no aggregation has to be done"
SL.TLF.0714.ZS,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
SL.AGR.0714.ZS,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
SL.AGR.0714.FE.ZS,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
SL.AGR.0714.MA.ZS,,,,,,,discard,0.65,0,,WB doesn't aggregate this variable
SL.EMP.TOTL.FE,,,,,,,sum,0.65,0,,used just to compute the female empl weight
SL.EMP.TOTL.MA,,,,,,,sum,0.65,0,,used just to compute the male empl weight
SL.AGR.EMPL.FE.ZS,,,SL.EMP.TOTL.FE,share,,,weighted.mean,0.65,0,,
SL.AGR.EMPL.MA.ZS,,,SL.EMP.TOTL.MA,share,,,weighted.mean,0.65,0,,
SL.EMP.TOTL,,,,,,,sum,0.65,0,,use as weight
SL.AGR.EMPL.ZS,,,SL.EMP.TOTL,share,,,weighted.mean,0.65,0,,
SL.IND.EMPL.ZS,,,SL.EMP.TOTL,,,,weighted.mean,0.65,0,,
SL.SRV.EMPL.ZS,,,SL.EMP.TOTL,,,,weighted.mean,0.65,0,,
SP.POP.1564.FE.IN,,,,,,,sum,0.65,0,,used just to compute the lab part rate weight
SP.POP.65UP.FE.IN,,,,,,,sum,0.65,0,,used just to compute the lab part rate weight
LABPARTFEWEIGHT,,,,manual,,,sum,0.65,0,,labor part rate weight ('SP.POP.1564.FE.IN'+'SP.POP.65UP.FE.IN')
SP.POP.1564.MA.IN,,,,,,,sum,0.65,0,,used just to compute the lab part rate weight
SP.POP.65UP.MA.IN,,,,,,,sum,0.65,0,,used just to compute the lab part rate weight
LABPARTMAWEIGHT,,,,manual,,,sum,0.65,0,,labor part rate weight ('SP.POP.1564.MA.IN'+'SP.POP.65UP.MA.IN')
